YearEnd,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,SP
2014,0.66605,0.1428,0.35735,0.2184,0.39396,0.01111,0.02762,20.589
2015,0.58513,0.31564,0.51955,0.29336,0.44184,0.0179,0.03077,20.4394
2016,0.61369,0.35544,0.53084,0.32939,0.4819,0.05775,0.03082,22.3883
2017,0.86525,0.56135,0.76578,0.54299,0.67889,0.12902,0.05355,26.7361
2018,0.69298,0.77352,0.744,0.39399,0.782,0.08126,0.05496,25.0685
2019,1.29682,0.93374,0.93405,0.59492,1.20583,0.14394,0.08107,32.3078
2020,2.24712,1.62928,1.19268,0.77878,1.68038,0.32207,0.65815,37.5607
2021,2.91068,1.68668,1.93191,0.94683,2.52408,0.7341,1.04234,47.6618
2022,2.06494,0.85588,1.15908,0.32335,1.7869,0.37817,0.38555,38.395
2023,2.98609,1.56559,1.73524,0.90592,2.73312,1.22202,0.75379,47.6983
2024,2.64798,1.8068,1.72134,1.24472,3.01903,2.16019,0.55653,51.5736